"document_id,set,question,answer1,answer2,question_tokenized,answer1_tokenized,answer2_tokenized"
"00fb61fa7bee266ad995e52190ebb73606b60b70,valid,How many phases does the competition have?,Four.,four,How many phases does the competition have ?,Four .,four"
"00fb61fa7bee266ad995e52190ebb73606b60b70,valid,Who does Diana represent?,Queen Elizabeth.,Queen Elizabeth ,Who does Diana represent ?,Queen Elizabeth .,Queen Elizabeth"
"00fb61fa7bee266ad995e52190ebb73606b60b70,valid,Who is sleeping at the beginning of the play?,Echo,Echo,Who is sleeping at the beginning of the play ?,Echo,Echo"
"00fb61fa7bee266ad995e52190ebb73606b60b70,valid,Where is Narcissus's spring?,Gargaphie Valley Greece.,Gargaphie ,Where is Narcissus s spring ?,Gargaphie Valley Greece .,Gargaphie"
"00fb61fa7bee266ad995e52190ebb73606b60b70,valid,Which two societies are aligned in this play?,Greek mythology and Queen Elizabeth's Court,Greece and England,Which two societies are aligned in this play ?,Greek mythology and Queen Elizabeth s Court,Greece and England"
"00fb61fa7bee266ad995e52190ebb73606b60b70,valid,Where do the dancers purify themselves?,Mount Helicon,in the spring at Mount Helicon,Where do the dancers purify themselves ?,Mount Helicon,in the spring at Mount Helicon"
"00fb61fa7bee266ad995e52190ebb73606b60b70,valid,Which page performs the dialogue?,Anaides,Anaides ,Which page performs the dialogue ?,Anaides,Anaides"
"00fb61fa7bee266ad995e52190ebb73606b60b70,valid,Who enters with Mercury?,Cupid,Cupid,Who enters with Mercury ?,Cupid,Cupid"
"00fb61fa7bee266ad995e52190ebb73606b60b70,valid,Who is the 2nd Earl of Essex?,Robert Devereux,Robert Devereux,Who is the 2nd Earl of Essex ?,Robert Devereux,Robert Devereux"
"00fb61fa7bee266ad995e52190ebb73606b60b70,valid,From where does this play originate? ,Church choir,Boys' company,From where does this play originate ?,Church choir,Boys ' company"
"00fb61fa7bee266ad995e52190ebb73606b60b70,valid,What are people arguing about as the story begins?,A black cloak ,the black cloak ,What are people arguing about as the story begins ?,A black cloak,the black cloak"
"00fb61fa7bee266ad995e52190ebb73606b60b70,valid,Who announces the events that are to come to the dismay of the others on stage?,Anaides,Anaides,Who announces the events that are to come to the dismay of the others on stage ?,Anaides,Anaides"
"00fb61fa7bee266ad995e52190ebb73606b60b70,valid,What is another name for the Goddess Diana?,Cynthia,Cynthia,What is another name for the Goddess Diana ?,Cynthia,Cynthia"
"00fb61fa7bee266ad995e52190ebb73606b60b70,valid,What does Diana order to take place  in the valley of Gargaphie?,Solemn revels,solemn revels ,What does Diana order to take place in the valley of Gargaphie ?,Solemn revels,solemn revels"
"00fb61fa7bee266ad995e52190ebb73606b60b70,valid,Why does Asotus become emboldened by vanity and self -love?,He drank from Narcissus' spring ,He drank from Narcissus' spring,Why does Asotus become emboldened by vanity and self -love ?,He drank from Narcissus ' spring,He drank from Narcissus ' spring"
"00fb61fa7bee266ad995e52190ebb73606b60b70,valid,What challenge does Asotus propose to all comers?,""""""Court Compliment"""""",""to a competition of """"court compliment"""""",What challenge does Asotus propose to all comers ?,Court Compliment,to a competition of court compliment"
"00fb61fa7bee266ad995e52190ebb73606b60b70,valid,What does Diana tell the courtiers to do after the dance?,Purify themselves by bathing in a sacred spring,unmask,What does Diana tell the courtiers to do after the dance ?,Purify themselves by bathing in a sacred spring,unmask"
"00fb61fa7bee266ad995e52190ebb73606b60b70,valid,What effect does the spring of Narcissus have on those who drink from it?,Grow enamored of themselves,They become enamoured with themselves.,What effect does the spring of Narcissus have on those who drink from it ?,Grow enamored of themselves,They become enamoured with themselves ."
"00fb61fa7bee266ad995e52190ebb73606b60b70,valid,Who awakens Echo?,Mercury,Mercury,Who awakens Echo ?,Mercury,Mercury"
"00fb61fa7bee266ad995e52190ebb73606b60b70,valid,Who does Cynthia represent in the masque?,Queen Elizabeth,Queen Elizabeth,Who does Cynthia represent in the masque ?,Queen Elizabeth,Queen Elizabeth"
"014de1a8802c05ff64efa047e9290fb7fccea2b4,test,Who does Maskull accept an invitation from?,Krag,Krag.,Who does Maskull accept an invitation from ?,Krag,Krag ."
"014de1a8802c05ff64efa047e9290fb7fccea2b4,test,Who is Krag an acquaintance of?,Nightspore,Nightspore.,Who is Krag an acquaintance of ?,Nightspore,Nightspore ."
"014de1a8802c05ff64efa047e9290fb7fccea2b4,test,Where is Maskull traveling to?,Tormance,Tormance.,Where is Maskull traveling to ?,Tormance,Tormance ."
"014de1a8802c05ff64efa047e9290fb7fccea2b4,test,""When Maskull wakes up in Tormance, how many of his friends are with him?"",None,None.,""When Maskull wakes up in Tormance , how many of his friends are with him ?"",None,None ."
"014de1a8802c05ff64efa047e9290fb7fccea2b4,test,Who does Maskull realize he really is?,Nightspore,Nightspore.,Who does Maskull realize he really is ?,Nightspore,Nightspore ."
"014de1a8802c05ff64efa047e9290fb7fccea2b4,test,Who does Krag claim that he is none as on Earth?,Pain,Pain,Who does Krag claim that he is none as on Earth ?,Pain,Pain"
"014de1a8802c05ff64efa047e9290fb7fccea2b4,test,What kind of ship does Maskull travel in?,A crystal ship,crystal,What kind of ship does Maskull travel in ?,A crystal ship,crystal"
"014de1a8802c05ff64efa047e9290fb7fccea2b4,test,Where is the abandoned observatory located?,In Scotland,Scotland.,Where is the abandoned observatory located ?,In Scotland,Scotland ."
"014de1a8802c05ff64efa047e9290fb7fccea2b4,test,Whose death does he learn is coming soon?,his own,Maskull's own death.,Whose death does he learn is coming soon ?,his own,Maskull s own death ."
"014de1a8802c05ff64efa047e9290fb7fccea2b4,test,Who gives the last revelation?,Krag,Krag.,Who gives the last revelation ?,Krag,Krag ."
"014de1a8802c05ff64efa047e9290fb7fccea2b4,test,Why does Maskull accept an invitation Krag to go to Tormance?,He longs for adventure. ,He wanted to go on adventures,Why does Maskull accept an invitation Krag to go to Tormance ?,He longs for adventure .,He wanted to go on adventures"
"014de1a8802c05ff64efa047e9290fb7fccea2b4,test,Who is Krag to Maskull?,A acquaintance of his friend Nightspore.,An acquaintance ,Who is Krag to Maskull ?,A acquaintance of his friend Nightspore .,An acquaintance"
"014de1a8802c05ff64efa047e9290fb7fccea2b4,test,""What sort of ship did Maskull, Krag, and Nightspore set of in?"",A crystal ship,A crystal ship.,""What sort of ship did Maskull , Krag , and Nightspore set of in ?"",A crystal ship,A crystal ship ."
"014de1a8802c05ff64efa047e9290fb7fccea2b4,test,Where did not crystal ship come from?,From an abandoned observatory in Scotland.,scotland's abandoned observatory,Where did not crystal ship come from ?,From an abandoned observatory in Scotland .,scotland s abandoned observatory"
"014de1a8802c05ff64efa047e9290fb7fccea2b4,test,Who is missing from the ship when Maskull wakes?,Krag and Nightspore.,Krag and Nightspore,Who is missing from the ship when Maskull wakes ?,Krag and Nightspore .,Krag and Nightspore"
"014de1a8802c05ff64efa047e9290fb7fccea2b4,test,How many people does Maskull usually see in the lands he travels?,Not more than 1 or 2.,One or two.,How many people does Maskull usually see in the lands he travels ?,Not more than 1 or 2 .,One or two ."
"014de1a8802c05ff64efa047e9290fb7fccea2b4,test,What happens to the people Maskull meets in his travels to various lands?,They usually die by his hand or anothers.,They die,What happens to the people Maskull meets in his travels to various lands ?,They usually die by his hand or anothers .,They die"
"014de1a8802c05ff64efa047e9290fb7fccea2b4,test,Whom is known on Earth as Pain?,Krag.,Krag,Whom is known on Earth as Pain ?,Krag .,Krag"
"014de1a8802c05ff64efa047e9290fb7fccea2b4,test,Maskull learns that he is also what character? ,Nightspore.,nightspore,Maskull learns that he is also what character ?,Nightspore .,nightspore"
"014de1a8802c05ff64efa047e9290fb7fccea2b4,test,""What country does Maskull, Krag, and Nightspore set off from?"",Scotland,Scotland,""What country does Maskull , Krag , and Nightspore set off from ?"",Scotland,Scotland"
"014de1a8802c05ff64efa047e9290fb7fccea2b4,test,""On average, how many people does Maskull normally meet when traveling?"",One or two,One or two.,""On average , how many people does Maskull normally meet when traveling ?"",One or two,One or two ."
"014de1a8802c05ff64efa047e9290fb7fccea2b4,test,Where was Maskull planning on traveling to in the beginning of the story?,Tormance,Tormance,Where was Maskull planning on traveling to in the beginning of the story ?,Tormance,Tormance"
"014de1a8802c05ff64efa047e9290fb7fccea2b4,test,What normally happens when Maskull meets new people in the lands he travels to?,Normally they die,Those people usually end up dead.,What normally happens when Maskull meets new people in the lands he travels to ?,Normally they die,Those people usually end up dead ."
"014de1a8802c05ff64efa047e9290fb7fccea2b4,test,Who has a revelation about the origin of the universe?,Krag,Nightspore,Who has a revelation about the origin of the universe ?,Krag,Nightspore"
"014de1a8802c05ff64efa047e9290fb7fccea2b4,test,Who is Nightspore?,Maskull,maskull,Who is Nightspore ?,Maskull,maskull"
"014de1a8802c05ff64efa047e9290fb7fccea2b4,test,What is Krag known as on Earth?,Pain,Pain.,What is Krag known as on Earth ?,Pain,Pain ."
"014de1a8802c05ff64efa047e9290fb7fccea2b4,test,Why does Maskull accept to go to Tormance with Krag and Nightspore?,He was longing for adventures.,He longs for adventure.,Why does Maskull accept to go to Tormance with Krag and Nightspore ?,He was longing for adventures .,He longs for adventure ."
"014de1a8802c05ff64efa047e9290fb7fccea2b4,test,Where does Maskull wake up alone at?,Tormance,Tormance.,Where does Maskull wake up alone at ?,Tormance,Tormance ."
"014de1a8802c05ff64efa047e9290fb7fccea2b4,test,What type of ship did the three set off in?,A crystal ship,crystal,What type of ship did the three set off in ?,A crystal ship,crystal"
"01502137e4276712d118bd4bdaf481c89aed163b,valid,Why did Micky feel he lost the fight in Atlantic City?,Opponent was in a weight class of 20 pounds heavier.,because the last minute substitute opponent was 20 pounds heavier than Micky,Why did Micky feel he lost the fight in Atlantic City ?,Opponent was in a weight class of 20 pounds heavier .,because the last minute substitute opponent was 20 pounds heavier than Micky"
"01502137e4276712d118bd4bdaf481c89aed163b,valid,What injury does Micky receive as he attempted to help his step-brother in a fight with police?,Broken hand,broken hand,What injury does Micky receive as he attempted to help his step-brother in a fight with police ?,Broken hand,broken hand"
"01502137e4276712d118bd4bdaf481c89aed163b,valid,What does Dicky's family realize to be the destroyer in Dicky's life and career after seeing a documentary on HBO?,Crack,Crack.,What does Dicky s family realize to be the destroyer in Dicky s life and career after seeing a documentary on HBO ?,Crack,Crack ."
"01502137e4276712d118bd4bdaf481c89aed163b,valid,Who is the manager that gets Micky away from his family of bad influence and encourages him back into the ring?,Sal Lanano,Sal Lanano.,Who is the manager that gets Micky away from his family of bad influence and encourages him back into the ring ?,Sal Lanano,Sal Lanano ."
"01502137e4276712d118bd4bdaf481c89aed163b,valid,""During his series of fights to regain his career, whose advice does Micky follow to gain momentum against his opponent?"",""his brother, Dicky"",Ricky his brother,""During his series of fights to regain his career , whose advice does Micky follow to gain momentum against his opponent ?"",""his brother , Dicky"",Ricky his brother"
"01502137e4276712d118bd4bdaf481c89aed163b,valid,Which member of Micky's family realize that other members of the family are bad influences?,Micky's father,Father,Which member of Micky s family realize that other members of the family are bad influences ?,Micky s father,Father"
"01502137e4276712d118bd4bdaf481c89aed163b,valid,Who does Dicky seek out to work with in reuniting the family?,Charlene,Charlene,Who does Dicky seek out to work with in reuniting the family ?,Charlene,Charlene"
"01502137e4276712d118bd4bdaf481c89aed163b,valid,In what location does the group go for the final title fight?,London,London,In what location does the group go for the final title fight ?,London,London"
"01502137e4276712d118bd4bdaf481c89aed163b,valid,What reward does Micky gain in the final victory?,The welterweight title,the welterweight title,What reward does Micky gain in the final victory ?,The welterweight title,the welterweight title"
"01502137e4276712d118bd4bdaf481c89aed163b,valid,What is Charlene Fleming's current occupation?,A bartender,Bartender,What is Charlene Fleming s current occupation ?,A bartender,Bartender"
"01502137e4276712d118bd4bdaf481c89aed163b,valid,How much heavier than Micky is Micky's opponent in Atlantic City?,Twenty pounds,20 pounds,How much heavier than Micky is Micky s opponent in Atlantic City ?,Twenty pounds,20 pounds"
"01502137e4276712d118bd4bdaf481c89aed163b,valid,Why do Micky and his family agree to the fight in Atlantic City?,To win the purse,For the purse.,Why do Micky and his family agree to the fight in Atlantic City ?,To win the purse,For the purse ."
"01502137e4276712d118bd4bdaf481c89aed163b,valid,What does Dicky have his girlfriend pose as?,A Prostitute,A prostitute,What does Dicky have his girlfriend pose as ?,A Prostitute,A prostitute"
"01502137e4276712d118bd4bdaf481c89aed163b,valid,Who does Micky accuse of favoring Dicky?,His mother,Alice,Who does Micky accuse of favoring Dicky ?,His mother,Alice"
"01502137e4276712d118bd4bdaf481c89aed163b,valid,Where does Micky's last fight occur?,London,London.,Where does Micky s last fight occur ?,London,London ."
"01502137e4276712d118bd4bdaf481c89aed163b,valid,What happens to Dicky when he poses as a policeman?,He is arrested,He is arrested.,What happens to Dicky when he poses as a policeman ?,He is arrested,He is arrested ."
"01502137e4276712d118bd4bdaf481c89aed163b,valid,What title does MIcky finally win?,Welterweight Champion,The welterweight title.,What title does MIcky finally win ?,Welterweight Champion,The welterweight title ."
"01502137e4276712d118bd4bdaf481c89aed163b,valid,Who suffers from a crack addiction?,Dicky,Dicky.,Who suffers from a crack addiction ?,Dicky,Dicky ."
"01502137e4276712d118bd4bdaf481c89aed163b,valid,What criminal crime did dickey commit that caused him to get arrested ?,""Dickey had his girlfriend pose as a prostitute, then pretend to be a cop to extort money"",Impersonating an officer.,What criminal crime did dickey commit that caused him to get arrested ?,""Dickey had his girlfriend pose as a prostitute , then pretend to be a cop to extort money"",Impersonating an officer ."
"01502137e4276712d118bd4bdaf481c89aed163b,valid,How did Mickey break his hand?,It was broken by the police officer that arrested him while he was trying to defend his brother from police ,Trying to stop police from arresting Dicky.,How did Mickey break his hand ?,It was broken by the police officer that arrested him while he was trying to defend his brother from police,Trying to stop police from arresting Dicky ."
"01502137e4276712d118bd4bdaf481c89aed163b,valid,What did sal lanano convicence Mickey that he must do in order to return to boxing?,Cut all ties with his brother and mother and brother.,Stay away from mom and brother,What did sal lanano convicence Mickey that he must do in order to return to boxing ?,Cut all ties with his brother and mother and brother .,Stay away from mom and brother"
"01502137e4276712d118bd4bdaf481c89aed163b,valid,What was the title of the hbo documentary about dickey?,Crack in America how crack addiction ruined dicys career ,Crack in America,What was the title of the hbo documentary about dickey ?,Crack in America how crack addiction ruined dicys career,Crack in America"
"01502137e4276712d118bd4bdaf481c89aed163b,valid,Why did Mickey have reservations about his fight in Atlantic City ?,Because the person he was supposed to fight was ill and the replacement fighter was 20 pounds heavier ,because the substitute opponent was 20 pounds heavier,Why did Mickey have reservations about his fight in Atlantic City ?,Because the person he was supposed to fight was ill and the replacement fighter was 20 pounds heavier,because the substitute opponent was 20 pounds heavier"
"01502137e4276712d118bd4bdaf481c89aed163b,valid,Where was the final title fight ?,London,London.,Where was the final title fight ?,London,London ."
"01502137e4276712d118bd4bdaf481c89aed163b,valid,Who does Mickey credit for his victory in the end?,Dickey,Ricky his brother,Who does Mickey credit for his victory in the end ?,Dickey,Ricky his brother"
"01502137e4276712d118bd4bdaf481c89aed163b,valid,Who wins the sparing match between Mickey and dickey?,Mickey,micky,Who wins the sparing match between Mickey and dickey ?,Mickey,micky"
"01502137e4276712d118bd4bdaf481c89aed163b,valid,Who leads Mickey back to boxing after the hbo documentary is realeases?,His father,his father,Who leads Mickey back to boxing after the hbo documentary is realeases ?,His father,his father"
"01502137e4276712d118bd4bdaf481c89aed163b,valid,What weight class does Mickey become champion of at the end of the story?,The welterweight title ,welterweight,What weight class does Mickey become champion of at the end of the story ?,The welterweight title,welterweight"
"015c99b411cef291d31cd5543c7ae957edebe6b4,train,Where is the Enterprise ambushed by the Scimitar?,In Federation space.,Bassen Rift ,Where is the Enterprise ambushed by the Scimitar ?,In Federation space .,Bassen Rift"
"015c99b411cef291d31cd5543c7ae957edebe6b4,train,What comes to Enterprise's aid?,Two Romulan Warbirds.,Two Romulan warbirds.,What comes to Enterprise s aid ?,Two Romulan Warbirds .,Two Romulan warbirds ."
"015c99b411cef291d31cd5543c7ae957edebe6b4,train,What does Shinzon do to the two Romulan Warbirds?,Destroys one and disables the other.,he destroys and disables them ,What does Shinzon do to the two Romulan Warbirds ?,Destroys one and disables the other .,he destroys and disables them"
"015c99b411cef291d31cd5543c7ae957edebe6b4,train,Why does Shinzon activate the thalaron weapon?,To assure complete destruction of Enterprise and Scimitar ships.,to invade federation,Why does Shinzon activate the thalaron weapon ?,To assure complete destruction of Enterprise and Scimitar ships .,to invade federation"
"015c99b411cef291d31cd5543c7ae957edebe6b4,train,Why is Shinzon aging rapidly?,Due to it being a clone.,he's a clone,Why is Shinzon aging rapidly ?,Due to it being a clone .,he s a clone"
"015c99b411cef291d31cd5543c7ae957edebe6b4,train,Whose primary weapons were destroyed?,Scimitar's.,""Shinzon's ship, The Scimitar's primary weapons are destroyed."",Whose primary weapons were destroyed ?,Scimitar s .,""Shinzon s ship , The Scimitar s primary weapons are destroyed ."""
"015c99b411cef291d31cd5543c7ae957edebe6b4,train,Who kidnaps Picard from the Enterprise?,Shinzon.,Shinzon,Who kidnaps Picard from the Enterprise ?,Shinzon .,Shinzon"
"015c99b411cef291d31cd5543c7ae957edebe6b4,train,Who is Shinzon a clone of?,Picard.,Picard,Who is Shinzon a clone of ?,Picard .,Picard"
"015c99b411cef291d31cd5543c7ae957edebe6b4,train,Why was Shinzon created?,To plant a high ranking spy into the Federation.,The Romulans wanted a high ranking spy in the Federation so they created Shinzon. ,Why was Shinzon created ?,To plant a high ranking spy into the Federation .,The Romulans wanted a high ranking spy in the Federation so they created Shinzon ."
"015c99b411cef291d31cd5543c7ae957edebe6b4,train,Who created Shinzon?,The Romulans.,The Romulans,Who created Shinzon ?,The Romulans .,The Romulans"
"015c99b411cef291d31cd5543c7ae957edebe6b4,train,What is the name of the Reman rebel leader?,Shinzon.,Shinzon,What is the name of the Reman rebel leader ?,Shinzon .,Shinzon"
"015c99b411cef291d31cd5543c7ae957edebe6b4,train,On what planet do Will Riker and Deanna Troi plan to marry?,Betazed.,Betazed,On what planet do Will Riker and Deanna Troi plan to marry ?,Betazed .,Betazed"
"015c99b411cef291d31cd5543c7ae957edebe6b4,train,What is the name of android that resembles Data?,B-4.,B-4,What is the name of android that resembles Data ?,B-4 .,B-4"
"015c99b411cef291d31cd5543c7ae957edebe6b4,train,Who is Shinzon a clone of?,Captain Picard.,Picard,Who is Shinzon a clone of ?,Captain Picard .,Picard"
"015c99b411cef291d31cd5543c7ae957edebe6b4,train,What is the name of Shinzon's flagship?,The Scimitar.,the Scimitar,What is the name of Shinzon s flagship ?,The Scimitar .,the Scimitar"
"015c99b411cef291d31cd5543c7ae957edebe6b4,train,What does Shinzon need in order to stop rapidly aging and save his life?,Picard's blood.,A blood transfusion of Picard's blood.,What does Shinzon need in order to stop rapidly aging and save his life ?,Picard s blood .,A blood transfusion of Picard s blood ."
"015c99b411cef291d31cd5543c7ae957edebe6b4,train,Who rescues Picard from Shinzon?,Data.,Commander Data ,Who rescues Picard from Shinzon ?,Data .,Commander Data"
"015c99b411cef291d31cd5543c7ae957edebe6b4,train,What planet is endangered by Shinzon's plans to use the thalaron radiation generator?,Earth.,Earth,What planet is endangered by Shinzon s plans to use the thalaron radiation generator ?,Earth .,Earth"
"015c99b411cef291d31cd5543c7ae957edebe6b4,train,Who kills Shinzon?,Picard.,picard,Who kills Shinzon ?,Picard .,picard"
"015c99b411cef291d31cd5543c7ae957edebe6b4,train,Who will become commander of the USS Titan?,Riker.,captain riker,Who will become commander of the USS Titan ?,Riker .,captain riker"
"015c99b411cef291d31cd5543c7ae957edebe6b4,train,Why is Shinzon aging rapidly?,Because he is a clone.,Because he is a clone.,Why is Shinzon aging rapidly ?,Because he is a clone .,Because he is a clone ."
"015c99b411cef291d31cd5543c7ae957edebe6b4,train,Which person (other than himself) does Shinzon most resemble?,Picard,Picard,Which person ( other than himself ) does Shinzon most resemble ?,Picard,Picard"
"015c99b411cef291d31cd5543c7ae957edebe6b4,train,What is detected by the Enterprise when they travel through the Kolaron planetary system?,Emissions of positronic energy ,positronic energy,What is detected by the Enterprise when they travel through the Kolaron planetary system ?,Emissions of positronic energy,positronic energy"
"015c99b411cef291d31cd5543c7ae957edebe6b4,train,Who does Shinzon kidnap from the Enterprise?,Picard and B-4,Picard,Who does Shinzon kidnap from the Enterprise ?,Picard and B-4,Picard"
"015c99b411cef291d31cd5543c7ae957edebe6b4,train,What is the Scimitar?,A warship ,flagship,What is the Scimitar ?,A warship,flagship"
"015c99b411cef291d31cd5543c7ae957edebe6b4,train,Why does Shinzon activate the Thalaron weapon?,To destroy both the Scimitar and the Enterprise ,Shinzon activates the weapon in order to ensure the mutual destruction of the Enterprise and the Scimitar.,Why does Shinzon activate the Thalaron weapon ?,To destroy both the Scimitar and the Enterprise,Shinzon activates the weapon in order to ensure the mutual destruction of the Enterprise and the Scimitar ."
"015c99b411cef291d31cd5543c7ae957edebe6b4,train,How does Shinzon die?,Impaled on a piece of metal,he is impaled by Picard,How does Shinzon die ?,Impaled on a piece of metal,he is impaled by Picard"
"015c99b411cef291d31cd5543c7ae957edebe6b4,train,Why does the Enterprise travel to Earth?,For repairs,For repairs.,Why does the Enterprise travel to Earth ?,For repairs,For repairs ."
"015c99b411cef291d31cd5543c7ae957edebe6b4,train,How does Dr. Crusher treat Shinzon?,By transfusing Picard's blood,with Picard's blood,How does Dr. Crusher treat Shinzon ?,By transfusing Picard s blood,with Picard s blood"
"015c99b411cef291d31cd5543c7ae957edebe6b4,train,What do Riker and Troy hope to accomplish on Betazed?,They hope to be married,They got married.,What do Riker and Troy hope to accomplish on Betazed ?,They hope to be married,They got married ."
"019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,What is Lisbeth's nickname?,Longskirt,Longskirt,What is Lisbeth s nickname ?,Longskirt,Longskirt"
"019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,How did Lisbeth get her long skirt?,It was a Christmas present from her brother,A Christmas present from her brother,How did Lisbeth get her long skirt ?,It was a Christmas present from her brother,A Christmas present from her brother"
"019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,What is Lisbeth's job on the farm?,caring for livestock,Working with livestock,What is Lisbeth s job on the farm ?,caring for livestock,Working with livestock"
"019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,What is Jacob's relationship to Lisbeth?,he is her brother,Brother,What is Jacob s relationship to Lisbeth ?,he is her brother,Brother"
"019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,How did Lisbeth get her nickname?,her skirt was too long,because her skirt was too long.,How did Lisbeth get her nickname ?,her skirt was too long,because her skirt was too long ."
"019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,What happened that made Lisbeth move to Hoel farm?,her mother died,Her mother died.,What happened that made Lisbeth move to Hoel farm ?,her mother died,Her mother died ."
"019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,What was New Ridge Farm also known as?,Peerout Castle,Peerout Castle,What was New Ridge Farm also known as ?,Peerout Castle,Peerout Castle"
"019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,What is the seter?,A mountain pasture,the seter is a mountain pasture.,What is the seter ?,A mountain pasture,the seter is a mountain pasture ."
"019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,When does Lisbeth go to the seter?,in the summer,During the summertime.,When does Lisbeth go to the seter ?,in the summer,During the summertime ."
"019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,Jacob goes to Nordrum farm to become what?,a herdsman,a herdsman,Jacob goes to Nordrum farm to become what ?,a herdsman,a herdsman"
"019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,What is Lisbeth's nickname?,Longskirt.,Longskirt,What is Lisbeth s nickname ?,Longskirt .,Longskirt"
"019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,What is the name for a mountain pasture that herdsmen use during the summer?,Seter.,The seter,What is the name for a mountain pasture that herdsmen use during the summer ?,Seter .,The seter"
"019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,What is Lisbeth's brother's name?,Jacob.,Jacob,What is Lisbeth s brother s name ?,Jacob .,Jacob"
"019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,""What is the alternative name for Lisbeth's childhood home, New Ridge farm?"",Peerout Castle.,Peerout Castle,""What is the alternative name for Lisbeth s childhood home , New Ridge farm ?"",Peerout Castle .,Peerout Castle"
"019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,""Who gave Lisbeth her Christmas present, from which her nickname was derived? "",Jacob.,Her Brother,""Who gave Lisbeth her Christmas present , from which her nickname was derived ?"",Jacob .,Her Brother"
"019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,Why do Lisbeth and her brother move away from their childhood home?,Their mother dies.,""Not entirely clear, but it seems because Kjersti had made a promise to her mother before her mother died."",Why do Lisbeth and her brother move away from their childhood home ?,Their mother dies .,""Not entirely clear , but it seems because Kjersti had made a promise to her mother before her mother died ."""
"019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,Kjersti Hoel takes care of Lisbeth when she comes to his farm. What made him feel obligated to take care of her?,He made a promise to Lisbeth's mother before she died. ,He made a promise to Lisbeth's mother before she died?,Kjersti Hoel takes care of Lisbeth when she comes to his farm . What made him feel obligated to take care of her ?,He made a promise to Lisbeth s mother before she died .,He made a promise to Lisbeth s mother before she died ?"
"019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,Lisbeth works on Hoel farm. What does she work with?,Livestock.,livestock ,Lisbeth works on Hoel farm . What does she work with ?,Livestock .,livestock"
"019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,""Besides working, how does Lisbeth spend her summer at the mountain pasture?"",She gets to know two herdsmen from nearby farms.,She gets to know two other herding guides from neighboring farms.,""Besides working , how does Lisbeth spend her summer at the mountain pasture ?"",She gets to know two herdsmen from nearby farms .,She gets to know two other herding guides from neighboring farms ."
"019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,Who is Jacob to Lisbeth?,He is her brother. ,Her brother,Who is Jacob to Lisbeth ?,He is her brother .,Her brother"
"019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,Where does Lisbeth get her nickname?,from her skirt being too long,A Christmas present her brother gives her.,Where does Lisbeth get her nickname ?,from her skirt being too long,A Christmas present her brother gives her ."
"019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,Where did the skirt come from?,Lisbeth got it as a gift from her brother.,LIsbeth's brother,Where did the skirt come from ?,Lisbeth got it as a gift from her brother .,LIsbeth s brother"
"019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,What is Lisbeth's home called?,Peerout Castle,Peerout Castle,What is Lisbeth s home called ?,Peerout Castle,Peerout Castle"
"019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,What is Lisbeth's brother's name?,Jacob,Jacob,What is Lisbeth s brother s name ?,Jacob,Jacob"
"019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,What job does Lisbeth's brother take?,a herdsman,A heardsman,What job does Lisbeth s brother take ?,a herdsman,A heardsman"
"019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,What is the name of the farm Lisbeth moves to?,Hoel,New Ridge Form,What is the name of the farm Lisbeth moves to ?,Hoel,New Ridge Form"
"019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,Who owns the farm?,Kjersti Hoel,Kjersti Hoel,Who owns the farm ?,Kjersti Hoel,Kjersti Hoel"
"019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,What job does LIsbeth have at the farm?,livestock,She works with the livestock,What job does LIsbeth have at the farm ?,livestock,She works with the livestock"
"019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,Why does the farm owner take care of Lisbeth?,she made a promise to her mother,He made a promise to Lisbeth's mother before she died,Why does the farm owner take care of Lisbeth ?,she made a promise to her mother,He made a promise to Lisbeth s mother before she died"
