answers
"mr povey, mr. povey. "
"he died., he passed away. "
"pensione, a pensione shop. "
"he worked at the father's shop., in a shop. "
"england, somewhere in england "
"a young amateur detective., a gifted high school detective. "
"the hollow needle, the hollow needle "
"""louis xiv, the king of france"" "
" start?"", with julius caesar "
"high school, high school "
"a young but gifted amateur detective, ""a young "
"louis valmeras, louis valmeras "
"to keep people away from the needle in normady, mislead those hunting for the needle in normandy. "
"the town of le havre near normady, the town of le havre. "
"the secret of the hollow needle. , the solution to the hollow needle. "
"it is believed to contain all of the fortunes of the kings of france., a collection of valuable jewels and gems. "
" in the story, to have mastered the secret of the hollow needle?"" "
"the chateau de l'aiguille. , chateau de l'aiguille "
"the answer to the riddle of the hollow needle. , the secret to the riddle "
"""louis xiv, the king of france."" "
"to throw people off track of the real needle. , le havre "
"""in normandy, near the town of le havre. "" "
"arsene lupin., arsene lupin "
"near le havre in normandy. , near the town of le havre in normandy "
"the hollow needle, the hollow needle "
"isidore beautrelet, isidore beautrelet "
"a secret, secrets of the mystery of the hidden needle "
"department of creuse, the department of creuse "
"arsene lupin, arsene lupin "
"the legendary needle, the hollow needle. "
"the solution to the riddle, he thinks found solution to riddle "
"louis xiv, louis the 15th "
"louis valmeras, under a different name louis valmeras in hiding "
"le havre, the chateau king louis 15th built "
" what does nadia have that makes alexei leave her in st. albans?"", a pregnancy. "
" please describe why john was forced to steal from his job as a bank clerk?"", because nadia's cousin and friend held her for ransom money. "
"because john realized nadia was a part of the con to have him steal money and he wanted to clear his name., he hoped he would be able to clear his name as a bank robber. "
"they realized she was pregnant with johns' baby., because she is pregnant "
"russia, russia. "
"sophia is nadia's real name., sophia is a criminal posing as a mail order bride named nadia. "
" yuri and alexei?"", they have been scamming men in switzerland and germany in the same manner they did with john. "
"he wanted for her to have her baby with him after all., he decided that he wanted nadia to have the baby. "
"to russia, russia "
" instead of john?"", ""she did go with john "
"bank clerk, bank clerk "
"robs his own bank, he stole from his bank. "
"because she was pregnant, alexei discovered that she was already pregnant. "
"a toilet, toilet "
"he hopes to clear his name as a wanted bank robber, st albans "
"the airport, the airport "
"because he now wants her to have the baby, alexei wants nadia to have the baby. "
"sophia, sophia "
"alexei, alexei "
"a chair, a chair "
"bank clerk, bank clerk "
"st. albans, st. albans. "
"a mail order bride, mail order bride "
"nadia, nadia sophia "
"russia, russia "
"nadia's cousin yuri and his friend alexei, yuri and alexei "
"nadia, nadia sophia "
"he steals from the bank he works for, he steals from the bank where he works. "
"""nadia, alexei "
"sophia, sophia "
"butcher, butcher "
"new york city, bronx. "
"his mother, his mother and later his aunt catherine "
"the stardust ballroom, stardust "
"because she was abandoned by a blind date, her blind date abandoned her. "
"his aunt, his aunt "
"saturday night, saturday "
"the bus, cab "
"schoolteacher, she's a schoolteacher. "
"from a phone booth, a phone booth. "
" what does everyone want marty to do?"", get married. "
"clara, clara "
"that he would call her., he would call her at 2:30 the next day. "
"marty might get married and leave her., that she will be cast aside. "
" what do marty's friends try to convince him to do?"", ""break up wih her "
"she belittles her., she makes her seem unimportant. "
"he really enjoyed it?, he is overjoyed. "
"marry her, get down on his knees and beg her to marry him. "
" what does marty do?"", he calls clara. "
"""he's a fat, ugly man."" "
"the bronx, the bronx "
"34, 34 "
"stardust ballroom, the stardust ballroom "
"because her blind date abandoned her., she was abandoned by her blind date. "
"afternoon 2:30, 2:30 "
"aunt catherine, aunt catherine "
"marty would marry and abandon her, marty will marry and abandon her. "
"marty's mother belittles clara, his mother belittles clara. "
"phone booth , a phone booth. "
"clara is watching television with her parents, watching television. "
"the farmer's cat, a cat. "
"dragon, ""dragon "
"out of respect for her husband for helping them escape nimh, her husband made their escape from the lab possible. "
"because she was small enough to fit through the hole to get to dragon's bowl, the other rats were too large to fit into the hole in the wall. "
"billy, billy. "
"justin, justin "
"so her son timothy can recover from illness and to avoid the plow., because the farmer mr. fitzgibbons is about to plow the field. "
"to make it appear they have not abandoned the hole., to make it look as though the rat hole wasn't abandoned "
"8, 8 "
"ms. frisby overheard a conversation while in the cage., mrs. frisby overhead the fitzgibbons talking about it. "
"he was killed by the farmer's cat, dragon killed him. "
"mr. frisby and mr. ages, mrs. frisby "
"when he learns mrs. frisby is jonathan's window, after he confirms that mrs. frisbey is jonathan's widow. "
"the humans at nimh performed experiments on him which increased his intelligence, because of drugs given to the rats. "
"they don't want to be dependent on humans any longer, to end their dependence upon humans "
"when she tried to drug the cat, when she sneaks into the house to drug dragon the cat "
"after the rats were electrocuted at the hardware store, after a group of rats electrocuted themselves at a hardware store trying to steal parts for a small motor. "
"justin, justin "
"""by destroying their underground rooms and filling some with garbage, in order to appear like regular rats"" "
"inside the house, inside the house. "
"mrs. frisby, mrs. frisby is the head of the field mice. "
"pneumonia, he has pneumonia. "
"mr. fitzgibbon, mr. fitzgibbon. "
"mr. ages, mr. ages. "
"jeremy, ""jeremy "
"nicodemus, nicodemus "
"jenner, jenner "
"billy, billy. "
"in a cage, in a cage "
" how many escape?"", eight "
"they will be totally abolished., standing armies will be totally abolished. "
"a peace program., a peace program. "
"democratic peace theory, the modern democratic peace theory. "
" what does it say the civil constitution of all states should be?"", republican "
"universal suffrage, universal suffrage. "
"a federation of free states, the federation of free states "
"national debt, national debts "
"the executive, the executive. "
"three, 3 "
"six, six. "
"preliminary articles, a peace program comprised of preliminary articals "
"independent states, independent states. "
"standing armies, standing armies. "
"constitution or government, the constitution or government. "
"three, three. "
"republican, republican. "
"the law of nations, the law of nations. "
"hospitality, conditions of universal hospitality "
"democratic peace theory, modern democratic peace theory "
"peace, republics will be more at peace and with each other and in general "
"a peace program , a peace program "
"they will be totally abolished. , abolishment "
"a league of nations. , a league of nations "
"democratic peace theory., modern democratic peace theory. "
"a federation of free states. , a federation of free states "
" can states interfere with the government of another state? "", ""they can "
"three. , three. "
"republic, republican states with representative governments and where the legislature is separate from the executive. "
"six. , 6 "
"the children of the new forest, the childeren of the new forest. "
" humphrey, alice and edith?"" "
"in his isolated cottage, in his cottage "
"corbould, corbould "
"heatherstone, heatherstone "
"to be brought up as aristocratic ladies , to be taught to be proper ladies "
"patience, patience. "
"his grandchildren, his grandchildren "
"secretary, secretary "
"""edward, humphrey "
"jacob armitage, jacob armitage "
"heatherstone, heatherstone "
"new forest, new forest "
"aristocratic ladies, aristocrats "
"corbould, corbould "
"1647, 1647. "
" humphrey, alice and edith?"" "
"patience, patience. "
"edward feels betrayed by heatherstone when he learns that heatherstone was awarded the arnwood estate., ""patience "
"his isolated cottage, his isolated cottage. "
"his grandchildren, his grandchildren "
"edward, edward "
"a pitfall trap, trap "
"patience, patience "
"a house fire, a house fire. "
"heatherstone has been awarded the old arnwood estate and patience's apparent rejection of his love, royalist defeat at the battle of worcester and patience's rejection of his love "
"to give to edward, for william "
"he was his secretary, secretary "
"king charles i, king charles i "
"king charles i., charles i "
"colonel beverly., colnel beverly's children "
"jacob armitage., jacob armitage "
"his grandchildren., grandchildren "
"pablo., a gypsy kid "
"corbould., parliamentary soldiers "
"heatherstone., heatherstone "
"he is a secretary., secretary "
"edward., edward "
"heatherwood., heatherstone "
"car sales man., car salesman "
"he needs to pay back a fraudulent loan., he needs to repay a loan "
"3; police officer and 2 eye witnesses, three "
"she's pregnant., seven months pregnant "
"a million dollars., one million dollars. "
"carl., carl showalter. "
"gaear kills him as well., gaear "
"gaear wants to keep the new car they were given., to get the money "
"a duck., mallard "
"six, 3 "
"there is repayment due on a large gmac loan he took out, to pay off a loan "
"1 million dollars, $1 million "
"he kills carl in an argument over who can have the new car jerry gave them, refuses to hand over briefcase "
"winter, winter "
"the brainerd police chief, brainerd police chief "
"they are old classmates, they are old classmates. "
"through a phone call with a mutual friend, phone conversation "
"to kidnap his wife for ransom from his father in law, kidnap his wife "
"money, money "
"gmac, gmac "
"non existent dealership vehicles, nonexistent dealership vehicles "
"gaear, gaear grimsrud. "
"his wife, his wife "
"fargo, ""fargo "
"jean, jean "
"""$80, 000"" "
"accountant, an accountant "
"norm, norm "
"an eagle, an large eagle that is rare. "
"her nest and eggs, her nest and eggs. "
"mice, mice and an albatross "
"a wild razorback, a wild razorback pig "
"to make people think he had died, to trick the rangers into thinking that cody was dead. "
"austrailia, the australian outback. "
"bianca and bernard's guide and protector, a hopping mouse who works for ras "
"bernard, bernard "
"rocks, rocks. "
"bernard, bernard "
"a rare giant eagle, a rare giant eagle. "
"he was a poacher, he's a local poacher "
"he would become rich, he'll be rich. "
"the rescue aid society, rescue aid society "
"jake, jake the hopping mouse. "
"he was told that marahute has died, a trick that makes cody think marahute is died. "
"crocodiles, the animals in a dungeon at the mcleach ranch. "
"mcleach, mcleach "
"bernard, bernard "
"they hatched, they hatch "
"percival c. mcleach, percival mcleach "
"the australian outback, the australian outback. "
"""bernard, bianca "
"maharute and her nest, an eagle "
"because cody was protecting maharute, cody won't tell him where marahute is. "
"he is a poacher and exploits animals for profit, refusing to give marahute's whereabouts "
"percival tricks cody into thinking maharute is dead, tricks him "
"bernard used a wild razorback pig to follow and disable mcleach's vehicle, using a razorback pig he was riding. "
"bernard hid the eggs and used rocks as decoys., they were actually stones "
"""at the end of the movie, bernard did propose to bianca."" "
"london, london "
"doricourt, letitia is promised to a doricourt who she knew during childhood. "
"lady francis touchwood, lady francis touchwood "
"childhood, childhood "
"letitia, letitia hardy "
"equally adored by man, she wants to love someone who loves her back equally. "
"his wife, lady frances "
"his favorite role, a favorite. "
"1780's, 1780s "
"a bold deception , to trick doricourt into passion. "
" who is letitia hardy promised to marry?"", doricourt "
"london, london "
" what feelings does she discover she has for doricourt?"", that she is madly in love with him. "
"that he is unmoved by her., he doesn't care for her. "
"because she wishes to marry someone who adores her equally., she wants to marry someone that loves her equally. "
"by turning her into a fine lady., she wants to change lady frances into a fine young woman. "
"by a fashionable life., fashionable life "
"jealousy, jealousy "
"to spite the jealous sir george., she is from the rural county "
"lady francis is sir george's wife., wife "
"doricourt, doricourt "
"with indifference., he is unmoved by her "
"letitia is hopelessly in love with doricourt., she is charmed by him "
"""lady francis, his wife."" "
"the eighteenth., 18th century "
"london, london "
"dangerously sophisticated., george is afraid his wife may become a fashionable fine lady. "
"a masquerade ball., a masquerade ball "
"one where he is equally in love with her., one where he loves her equal to how much she loves him "
"coll, primus pastor "
